timestamp,pos_x_m,pos_y_m,pos_z_m,att_yaw_deg,att_pitch_deg,att_roll_deg,tof_distance_mm
2025-09-24T11:34:05.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T11:34:05.771,0.0,0.0,0.0,6.33,0.05,-0.33,1569.0
2025-09-24T11:34:05.875,-4e-05,-0.0,0.0,6.33,0.05,-0.32,1569.0
2025-09-24T11:34:05.979,-3e-05,1e-05,0.0,6.34,0.06,-0.32,1569.0
2025-09-24T11:34:06.090,-3e-05,1e-05,0.0,6.34,0.05,-0.32,1572.0
2025-09-24T11:34:06.194,-1e-05,-1e-05,0.0,6.34,0.06,-0.33,1572.0
2025-09-24T11:34:06.299,-1e-05,1e-05,0.0,6.34,0.06,-0.32,1568.0
2025-09-24T11:34:06.403,0.0,1e-05,0.0,6.34,0.05,-0.32,1568.0
2025-09-24T11:34:06.507,0.0,4e-05,0.0,6.33,0.06,-0.32,1568.0
2025-09-24T11:34:06.618,0.0,4e-05,0.0,6.33,0.05,-0.32,1568.0
2025-09-24T11:34:06.722,1e-05,4e-05,0.0,6.34,0.05,-0.33,1569.0
2025-09-24T11:34:06.826,-0.0,3e-05,0.0,6.34,0.05,-0.32,1568.0
2025-09-24T11:34:06.932,-1e-05,3e-05,0.0,6.34,0.06,-0.32,1569.0
2025-09-24T11:34:07.038,-1e-05,3e-05,0.0,6.34,0.05,-0.32,1568.0
2025-09-24T11:34:07.140,-0.0,2e-05,0.0,6.33,0.05,-0.32,1570.0
2025-09-24T11:34:07.249,-3e-05,5e-05,0.0,6.34,0.06,-0.32,1569.0
2025-09-24T11:34:07.354,-2e-05,-1e-05,0.0,6.34,0.06,-0.32,1569.0
2025-09-24T11:34:07.463,-2e-05,-1e-05,0.0,6.33,0.05,-0.32,1567.0
2025-09-24T11:34:07.572,1e-05,-5e-05,0.0,6.34,0.05,-0.32,1567.0
2025-09-24T11:34:07.674,-1e-05,-4e-05,0.0,6.34,0.05,-0.33,1566.0
2025-09-24T11:34:07.779,1e-05,-3e-05,0.0,6.34,0.05,-0.32,1567.0
2025-09-24T11:34:07.884,0.0001,0.00025,0.0,7.27,0.06,-0.34,1565.0
2025-09-24T11:34:07.993,0.00016,-0.00343,0.0,7.27,0.06,-0.34,1565.0
2025-09-24T11:34:08.104,3e-05,-0.00403,0.0,15.37,0.04,-0.29,1565.0
2025-09-24T11:34:08.206,0.00027,-0.00467,0.0,30.78,0.01,-0.28,1566.0
2025-09-24T11:34:08.307,0.00256,-0.00282,0.0,38.89,-0.02,-0.24,1567.0
2025-09-24T11:34:08.409,0.00349,-0.00161,0.0,47.31,-0.09,-0.23,1568.0
2025-09-24T11:34:08.513,0.00406,-0.00144,0.0,55.25,-0.14,-0.25,1568.0
