timestamp,position_x,position_y,position_z
0.68,0.0,0.0,0.0
0.78,0.01264,-0.0015,0.0
0.88,0.04472,0.00078,0.0
0.98,0.05587,0.00036,0.0
1.08,0.08165,0.00128,0.0
1.18,0.10184,0.00269,0.0
1.28,0.11597,0.0038,0.0
1.38,0.13765,0.00481,0.0
1.5,0.15986,0.00573,0.0
1.6,0.18043,0.00661,0.0
1.7,0.20631,0.00815,0.0
1.8,0.22283,0.00815,0.0
1.9,0.24716,0.00857,0.0
2.0,0.26893,0.00865,0.0
2.1,0.28804,0.00915,0.0
2.2,0.31468,0.00987,0.0
2.3,0.3353,0.01053,0.0
2.4,0.35855,0.01055,0.0
2.5,0.38964,0.01215,0.0
2.6,0.41035,0.01203,0.0
2.7,0.43778,0.01233,0.0
2.8,0.46182,0.0127,0.0
2.9,0.4853,0.01299,0.0
3.02,0.51421,0.01369,0.0
3.12,0.5366,0.01449,0.0
3.22,0.55919,0.01618,0.0
3.32,0.57353,0.01646,0.0
3.42,0.56837,0.01404,0.0
3.52,0.55508,0.01313,0.0
3.62,0.55151,0.01367,0.0
3.73,0.55623,0.01517,0.0
3.82,0.56136,0.0162,0.0
3.92,0.56136,0.01502,0.0
4.02,0.55617,0.01321,0.0
4.12,0.55499,0.01455,0.0
4.22,0.55764,0.01614,0.0
4.32,0.5596,0.0164,0.0
4.42,0.55866,0.0155,0.0
4.52,0.55688,0.01521,0.0
4.62,0.55735,0.01625,0.0
4.72,0.55866,0.01643,0.0
4.82,0.55942,0.0164,0.0
4.92,0.5592,0.01605,0.0
5.02,0.55868,0.01506,0.0
5.12,0.5595,0.01604,0.0
5.24,0.56015,0.01647,0.0
5.34,0.55989,0.01691,0.0
5.44,0.55728,0.01725,0.0
5.54,0.56507,0.02965,0.0
5.64,0.57208,0.05425,0.0
5.74,0.57567,0.06417,0.0
5.84,0.57965,0.08122,0.0
5.94,0.58167,0.10138,0.0
6.04,0.58407,0.11802,0.0
6.14,0.58712,0.14099,0.0
6.24,0.58761,0.15818,0.0
6.34,0.58958,0.17724,0.0
6.44,0.59199,0.20115,0.0
6.54,0.59243,0.21917,0.0
6.64,0.59434,0.24266,0.0
6.74,0.5951,0.26579,0.0
6.86,0.59587,0.28566,0.0
6.96,0.59686,0.31113,0.0
7.06,0.59671,0.33234,0.0
7.16,0.59696,0.35567,0.0
7.26,0.59739,0.38086,0.0
