t_s,dt_s,conf,cx_px,cy_px,err_x_deg,err_y_deg,err_total_deg,accumulate_err_x_deg_s,accumulate_err_y_deg_s,accumulate_err_total_deg_s,controller_output_x_deg,controller_output_y_deg,gimbal_yaw_angle_deg,gimbal_pitch_angle_deg
0.672,0.6720,0.707,666,458,2.438,-12.047,12.291,1.638,-8.095,8.260,0.488,-2.409,0.100,-2.200
0.829,0.1570,0.635,663,428,2.156,-8.359,8.633,1.977,-9.408,9.615,0.431,-1.672,0.100,-5.200
1.016,0.1870,0.684,667,390,2.531,-3.688,4.473,2.450,-10.097,10.451,0.506,-0.738,0.200,-5.400
1.110,0.0940,0.667,670,382,2.812,-2.704,3.902,2.714,-10.352,10.818,0.562,-0.541,0.300,-5.800
1.219,0.1090,0.657,663,368,2.156,-0.983,2.370,2.949,-10.459,11.076,0.431,-0.197,0.500,-6.200
1.313,0.0940,0.632,640,362,0.000,-0.246,0.246,2.949,-10.482,11.099,0.000,-0.049,0.600,-6.200
1.360,0.0470,0.612,632,358,-0.750,0.246,0.789,2.914,-10.470,11.137,-0.150,0.049,0.500,-6.300
1.438,0.0780,0.696,629,403,-1.031,-5.286,5.386,2.834,-10.883,11.557,-0.206,-1.057,0.600,-6.300
1.516,0.0780,0.602,585,344,-5.156,1.967,5.519,2.431,-10.729,11.987,-1.031,0.393,0.500,-7.300
1.610,0.0940,0.659,557,326,-7.781,4.180,8.833,1.700,-10.336,12.817,-1.556,0.836,0.000,-6.900
1.704,0.0940,0.623,541,332,-9.281,3.442,9.899,0.828,-10.013,13.748,-1.856,0.688,-1.500,-5.500
1.813,0.1090,0.595,535,342,-9.844,2.213,10.089,-0.245,-9.772,14.848,-1.969,0.443,-3.100,-5.000
1.907,0.0940,0.616,534,350,-9.938,1.229,10.013,-1.180,-9.656,15.789,-1.988,0.246,-4.300,-4.900
2.000,0.0930,0.585,541,356,-9.281,0.492,9.294,-2.043,-9.610,16.653,-1.856,0.098,-5.600,-4.700
2.110,0.1100,0.582,553,358,-8.156,0.246,8.160,-2.940,-9.583,17.551,-1.631,0.049,-7.100,-4.600
2.204,0.0940,0.600,567,360,-6.844,-0.000,6.844,-3.583,-9.583,18.194,-1.369,-0.000,-8.500,-4.500
2.313,0.1090,0.630,580,360,-5.625,-0.000,5.625,-4.196,-9.583,18.807,-1.125,0.000,-9.500,-4.500
2.407,0.0940,0.606,587,360,-4.969,-0.000,4.969,-4.663,-9.583,19.274,-0.994,0.000,-10.400,-4.500
2.516,0.1090,0.627,595,360,-4.219,-0.000,4.219,-5.123,-9.583,19.734,-0.844,0.000,-11.100,-4.500
2.610,0.0940,0.581,605,360,-3.281,-0.000,3.281,-5.432,-9.583,20.043,-0.656,0.000,-11.600,-4.500
