tof,timestamp
0,2025-07-23 09:57:32.544548
0,2025-07-23 09:57:32.601038
512,2025-07-23 09:57:32.663144
512,2025-07-23 09:57:32.725455
515,2025-07-23 09:57:32.788049
515,2025-07-23 09:57:32.850664
515,2025-07-23 09:57:32.912991
515,2025-07-23 09:57:32.974247
514,2025-07-23 09:57:33.036712
513,2025-07-23 09:57:33.100400
515,2025-07-23 09:57:33.162643
512,2025-07-23 09:57:33.224098
513,2025-07-23 09:57:33.285665
515,2025-07-23 09:57:33.346038
514,2025-07-23 09:57:33.408471
513,2025-07-23 09:57:33.469681
512,2025-07-23 09:57:33.531410
514,2025-07-23 09:57:33.594239
513,2025-07-23 09:57:33.655532
512,2025-07-23 09:57:33.718276
513,2025-07-23 09:57:33.780261
512,2025-07-23 09:57:33.841828
512,2025-07-23 09:57:33.903500
512,2025-07-23 09:57:33.964545
510,2025-07-23 09:57:34.026899
510,2025-07-23 09:57:34.088775
513,2025-07-23 09:57:34.151660
501,2025-07-23 09:57:34.213579
502,2025-07-23 09:57:34.275629
504,2025-07-23 09:57:34.336781
502,2025-07-23 09:57:34.398720
500,2025-07-23 09:57:34.460463
509,2025-07-23 09:57:34.522169
500,2025-07-23 09:57:34.584365
506,2025-07-23 09:57:34.646280
509,2025-07-23 09:57:34.709582
513,2025-07-23 09:57:34.771901
513,2025-07-23 09:57:34.833406
512,2025-07-23 09:57:34.895839
513,2025-07-23 09:57:34.958154
512,2025-07-23 09:57:35.019315
510,2025-07-23 09:57:35.082207
508,2025-07-23 09:57:35.144466
518,2025-07-23 09:57:35.206429
511,2025-07-23 09:57:35.267053
520,2025-07-23 09:57:35.329458
516,2025-07-23 09:57:35.392315
507,2025-07-23 09:57:35.453454
506,2025-07-23 09:57:35.515805
515,2025-07-23 09:57:35.576808
512,2025-07-23 09:57:35.638543
500,2025-07-23 09:57:35.701060
502,2025-07-23 09:57:35.763508
506,2025-07-23 09:57:35.824509
508,2025-07-23 09:57:35.886796
511,2025-07-23 09:57:35.949093
511,2025-07-23 09:57:36.011204
514,2025-07-23 09:57:36.074375
515,2025-07-23 09:57:36.135350
516,2025-07-23 09:57:36.197617
514,2025-07-23 09:57:36.259889
514,2025-07-23 09:57:36.320608
510,2025-07-23 09:57:36.383094
511,2025-07-23 09:57:36.444737
509,2025-07-23 09:57:36.506035
508,2025-07-23 09:57:36.568797
508,2025-07-23 09:57:36.630876
506,2025-07-23 09:57:36.692738
504,2025-07-23 09:57:36.755165
505,2025-07-23 09:57:36.817183
508,2025-07-23 09:57:36.878675
507,2025-07-23 09:57:36.941367
504,2025-07-23 09:57:37.002946
503,2025-07-23 09:57:37.065461
502,2025-07-23 09:57:37.127810
504,2025-07-23 09:57:37.190668
503,2025-07-23 09:57:37.252842
503,2025-07-23 09:57:37.315132
502,2025-07-23 09:57:37.376810
502,2025-07-23 09:57:37.439193
503,2025-07-23 09:57:37.500497
502,2025-07-23 09:57:37.561912
501,2025-07-23 09:57:37.624249
500,2025-07-23 09:57:37.686525
501,2025-07-23 09:57:37.747258
499,2025-07-23 09:57:37.809968
498,2025-07-23 09:57:37.870865
499,2025-07-23 09:57:37.933003
503,2025-07-23 09:57:37.994540
504,2025-07-23 09:57:38.055881
507,2025-07-23 09:57:38.119427
506,2025-07-23 09:57:38.181999
504,2025-07-23 09:57:38.244704
504,2025-07-23 09:57:38.306622
505,2025-07-23 09:57:38.369154
507,2025-07-23 09:57:38.430816
507,2025-07-23 09:57:38.492281
506,2025-07-23 09:57:38.554816
506,2025-07-23 09:57:38.617325
508,2025-07-23 09:57:38.679350
506,2025-07-23 09:57:38.741641
505,2025-07-23 09:57:38.803913
503,2025-07-23 09:57:38.866042
503,2025-07-23 09:57:38.928114
502,2025-07-23 09:57:38.990097
503,2025-07-23 09:57:39.053511
505,2025-07-23 09:57:39.115765
502,2025-07-23 09:57:39.178336
504,2025-07-23 09:57:39.239134
505,2025-07-23 09:57:39.300767
505,2025-07-23 09:57:39.362466
505,2025-07-23 09:57:39.424126
504,2025-07-23 09:57:39.486229
502,2025-07-23 09:57:39.549201
504,2025-07-23 09:57:39.609691
505,2025-07-23 09:57:39.671923
507,2025-07-23 09:57:39.734227
504,2025-07-23 09:57:39.796056
503,2025-07-23 09:57:39.858277
501,2025-07-23 09:57:39.919843
501,2025-07-23 09:57:39.980712
501,2025-07-23 09:57:40.044693
504,2025-07-23 09:57:40.106451
505,2025-07-23 09:57:40.169895
505,2025-07-23 09:57:40.232409
503,2025-07-23 09:57:40.295177
505,2025-07-23 09:57:40.356198
502,2025-07-23 09:57:40.419369
501,2025-07-23 09:57:40.480554
504,2025-07-23 09:57:40.543753
504,2025-07-23 09:57:40.605495
503,2025-07-23 09:57:40.667355
503,2025-07-23 09:57:40.728692
499,2025-07-23 09:57:40.791356
506,2025-07-23 09:57:40.853776
509,2025-07-23 09:57:40.915755
507,2025-07-23 09:57:40.977516
503,2025-07-23 09:57:41.038599
503,2025-07-23 09:57:41.100433
506,2025-07-23 09:57:41.162525
505,2025-07-23 09:57:41.224580
505,2025-07-23 09:57:41.286915
506,2025-07-23 09:57:41.348687
506,2025-07-23 09:57:41.410780
504,2025-07-23 09:57:41.472818
504,2025-07-23 09:57:41.535349
503,2025-07-23 09:57:41.597042
506,2025-07-23 09:57:41.660462
505,2025-07-23 09:57:41.722589
503,2025-07-23 09:57:41.783692
503,2025-07-23 09:57:41.846566
503,2025-07-23 09:57:41.909104
505,2025-07-23 09:57:41.971765
504,2025-07-23 09:57:42.034113
503,2025-07-23 09:57:42.095897
505,2025-07-23 09:57:42.157949
504,2025-07-23 09:57:42.219420
507,2025-07-23 09:57:42.281004
508,2025-07-23 09:57:42.341731
507,2025-07-23 09:57:42.402862
507,2025-07-23 09:57:42.465206
509,2025-07-23 09:57:42.526981
505,2025-07-23 09:57:42.589016
508,2025-07-23 09:57:42.650834
510,2025-07-23 09:57:42.713165
511,2025-07-23 09:57:42.774667
511,2025-07-23 09:57:42.836955
509,2025-07-23 09:57:42.899752
508,2025-07-23 09:57:42.961118
508,2025-07-23 09:57:43.022621
511,2025-07-23 09:57:43.084297
507,2025-07-23 09:57:43.146990
508,2025-07-23 09:57:43.209465
508,2025-07-23 09:57:43.271694
508,2025-07-23 09:57:43.333522
508,2025-07-23 09:57:43.395945
508,2025-07-23 09:57:43.458219
509,2025-07-23 09:57:43.520713
509,2025-07-23 09:57:43.582591
509,2025-07-23 09:57:43.644258
510,2025-07-23 09:57:43.707891
507,2025-07-23 09:57:43.770312
509,2025-07-23 09:57:43.831800
511,2025-07-23 09:57:43.894621
510,2025-07-23 09:57:43.956610
508,2025-07-23 09:57:44.019547
510,2025-07-23 09:57:44.081504
509,2025-07-23 09:57:44.142341
511,2025-07-23 09:57:44.204519
511,2025-07-23 09:57:44.266012
511,2025-07-23 09:57:44.328445
509,2025-07-23 09:57:44.390961
507,2025-07-23 09:57:44.452269
511,2025-07-23 09:57:44.514799
512,2025-07-23 09:57:44.576551
511,2025-07-23 09:57:44.637129
512,2025-07-23 09:57:44.700038
518,2025-07-23 09:57:44.763030
518,2025-07-23 09:57:44.825949
518,2025-07-23 09:57:44.887401
519,2025-07-23 09:57:44.949488
514,2025-07-23 09:57:45.010904
515,2025-07-23 09:57:45.073687
517,2025-07-23 09:57:45.136474
515,2025-07-23 09:57:45.198769
515,2025-07-23 09:57:45.260678
511,2025-07-23 09:57:45.323458
515,2025-07-23 09:57:45.384517
519,2025-07-23 09:57:45.447933
515,2025-07-23 09:57:45.510431
511,2025-07-23 09:57:45.571097
510,2025-07-23 09:57:45.633369
510,2025-07-23 09:57:45.694625
510,2025-07-23 09:57:45.756823
510,2025-07-23 09:57:45.817838
509,2025-07-23 09:57:45.880232
509,2025-07-23 09:57:45.941635
512,2025-07-23 09:57:46.002167
512,2025-07-23 09:57:46.065205
510,2025-07-23 09:57:46.127510
506,2025-07-23 09:57:46.190110
503,2025-07-23 09:57:46.251740
502,2025-07-23 09:57:46.313129
501,2025-07-23 09:57:46.374575
500,2025-07-23 09:57:46.436231
501,2025-07-23 09:57:46.498815
501,2025-07-23 09:57:46.560163
500,2025-07-23 09:57:46.620799
500,2025-07-23 09:57:46.684186
503,2025-07-23 09:57:46.745798
502,2025-07-23 09:57:46.808187
501,2025-07-23 09:57:46.870232
502,2025-07-23 09:57:46.931306
502,2025-07-23 09:57:46.991136
503,2025-07-23 09:57:47.054293
504,2025-07-23 09:57:47.115607
505,2025-07-23 09:57:47.176606
506,2025-07-23 09:57:47.237424
505,2025-07-23 09:57:47.300780
508,2025-07-23 09:57:47.361335
