timestamp,pos_x,pos_y,pos_z,att_pitch,att_roll,att_yaw,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,esc_speed_0,esc_angle_0,esc_speed_1,esc_angle_1,robot_status
2025-07-08 10:41:24.091062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2025-07-08 10:41:24.212452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2025-07-08 10:41:24.322224,-2e-05,6e-05,0.0,-0.8,-1.0,-1.13,-0.00903,0.01042,-0.99801,-0.0072,0.00638,0.0047,-3,-2,10833,16945,1
2025-07-08 10:41:24.434264,-1e-05,3e-05,0.0,-0.8,-1.0,-1.13,-0.00804,0.01176,-1.0005,-0.00388,0.00668,0.00529,1,-2,10831,16949,1
2025-07-08 10:41:24.546445,0.0,4e-05,0.0,-0.8,-1.0,-1.13,-0.00777,0.00984,-1.00099,-0.00454,0.00744,0.00631,-1,-5,10831,16947,1
2025-07-08 10:41:24.657327,-2e-05,6e-05,0.0,-0.8,-1.0,-1.13,-0.00792,0.01159,-0.99945,-0.00678,0.00801,0.00352,-3,-1,10832,16945,1
2025-07-08 10:41:24.758103,2e-05,3e-05,0.0,-0.8,-1.0,-1.13,-0.00778,0.01097,-0.99959,-0.00261,0.00659,0.00279,4,-3,10831,16947,1
2025-07-08 10:41:24.871017,5e-05,2e-05,0.0,-0.8,-1.0,-1.13,-0.00815,0.01086,-1.00186,-0.00288,0.01026,0.00707,2,2,10832,16943,1
2025-07-08 10:41:24.976902,5e-05,-0.0,0.0,-0.8,-0.99,-1.13,-0.00812,0.01115,-1.00132,-0.00356,0.0067,0.00294,4,2,10836,16941,1
2025-07-08 10:41:25.088473,2e-05,-3e-05,0.0,-0.8,-1.0,-1.13,-0.00708,0.01163,-1.0021,-0.00547,0.00785,0.00581,2,1,10833,16945,1
2025-07-08 10:41:25.194321,2e-05,0.0,0.0,-0.8,-1.0,-1.13,-0.00843,0.00899,-1.00156,-0.00541,0.00721,0.00706,3,5,10832,16943,1
2025-07-08 10:41:25.294723,4e-05,-6e-05,0.0,-0.8,-1.0,-1.13,-0.0069,0.01103,-1.0008,-0.00513,0.00741,0.00435,3,5,10832,16943,1
2025-07-08 10:41:25.400294,0.0003,-7e-05,0.0,-0.68,-0.99,-1.13,0.22028,0.00546,-1.00063,-0.00048,-0.00445,0.00643,73,-61,12693,15046,0
2025-07-08 10:41:25.511377,0.02938,-6e-05,0.0,-0.67,-0.97,-1.02,0.22027,0.00055,-1.02047,0.03938,-0.04532,0.0144,79,-74,16710,11424,0
2025-07-08 10:41:25.622957,0.06678,-0.00107,0.0,-0.79,-0.96,-1.13,0.11864,0.03221,-1.02064,0.01708,-0.00517,-0.0268,102,-101,21664,6529,0
2025-07-08 10:41:25.735045,0.1332,-0.00227,0.0,-0.76,-0.97,-1.18,0.17337,-0.00155,-0.99995,-0.0117,-0.0187,0.0189,125,-155,28083,167,0
2025-07-08 10:41:25.840731,0.2704,-0.0055,0.0,-0.98,-0.95,-1.2,-0.12012,0.01811,-0.98922,-0.04239,-0.04501,-0.00414,125,-127,2465,25715,0
2025-07-08 10:41:25.945096,0.33569,-0.00696,0.0,-0.98,-1.04,-1.18,-0.00716,0.01451,-0.98338,-0.03499,0.12982,0.00608,122,-119,10475,17546,0
2025-07-08 10:41:26.049564,0.39921,-0.00828,0.0,-0.88,-1.06,-1.22,-0.10383,-0.02981,-1.03594,-0.02004,-0.05877,0.04747,99,-100,17458,10536,0
2025-07-08 10:41:26.153480,0.43337,-0.00854,0.0,-0.86,-1.09,-1.27,-0.2694,0.0147,-1.00292,0.04201,0.02691,-0.0154,84,-92,21553,6076,0
2025-07-08 10:41:26.257524,0.47653,-0.00923,0.0,-0.64,-1.14,-1.19,0.09066,0.0324,-1.0055,-0.00891,-0.00698,0.01583,97,-108,26262,1419,0
2025-07-08 10:41:26.361757,0.51168,-0.01015,0.0,-0.71,-1.11,-1.13,-0.18271,0.00728,-1.00952,-0.00637,-0.00609,0.00081,63,-64,30360,30128,0
2025-07-08 10:41:26.466039,0.53336,-0.01039,0.0,-0.76,-1.08,-1.06,-0.08362,0.00387,-0.96208,-0.0401,0.078,0.02385,56,-50,449,27459,0
2025-07-08 10:41:26.578055,0.56759,-0.0121,0.0,-0.77,-1.15,-1.21,0.08176,0.03337,-0.98335,0.00286,0.00347,-0.01564,45,-47,3362,24529,0
2025-07-08 10:41:26.678427,0.57626,-0.01358,0.0,-0.65,-1.17,-1.15,-0.24817,0.00719,-1.0071,-0.0129,0.0133,-0.01339,16,-16,5556,22344,0
2025-07-08 10:41:26.778888,0.58359,-0.01438,0.0,-0.65,-1.17,-1.15,0.03741,-0.00488,-1.01842,-0.01978,-0.02361,0.00631,23,-19,6648,21545,0
2025-07-08 10:41:26.880515,0.5829,-0.01724,0.0,-0.71,-1.19,0.16,-0.09733,0.00254,-0.98791,0.01399,0.01824,0.75541,-23,-23,5855,19911,0
2025-07-08 10:41:26.992265,0.57526,-0.01842,0.0,-0.65,-1.22,3.89,-0.07566,-0.00608,-0.99996,0.01388,0.01924,0.61259,-40,-23,4263,19228,0
2025-07-08 10:41:27.103561,0.57263,-0.01715,0.0,-0.46,-1.27,12.84,0.06595,0.04539,-0.98946,-0.00674,0.00883,0.69576,-29,-26,2201,18002,0
2025-07-08 10:41:27.215076,0.57877,-0.0153,0.0,-0.46,-1.27,12.84,0.06138,0.00522,-0.99701,-0.00079,0.0083,0.75407,-22,-48,432,15898,0
2025-07-08 10:41:27.319744,0.58174,-0.01511,0.0,-0.39,-1.32,21.52,-0.02841,0.00475,-1.01968,-0.01575,0.00762,0.79237,-26,-36,32024,13957,0
