t_s,dt_s,conf,cx,cy,size_x,size_y,dist_x_cm,dist_y_cm,dist_avg_cm,yaw_err_deg,pitch_err_deg,pid_yaw,pid_pitch,yaw_out_deg,pitch_out_deg
0.656,0.6560,0.390,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,-1.100
0.765,0.1090,0.471,331,200,18,32,180.000,269.998,224.999,-28.969,19.668,-5.794,3.934,-0.300,0.300
0.890,0.1250,0.479,331,200,15,32,215.999,269.998,242.999,-28.969,19.668,-5.794,3.934,-4.800,3.000
1.031,0.1410,0.245,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.600
1.078,0.0470,0.333,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.300,7.300
1.125,0.0470,0.323,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.300,6.900
1.156,0.0310,0.335,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.200,7.000
1.218,0.0620,0.350,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.200,6.900
1.265,0.0470,0.357,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.200,6.900
1.312,0.0470,0.343,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.200,6.900
1.359,0.0470,0.336,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.200,6.900
1.390,0.0310,0.327,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.437,0.0470,0.337,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.484,0.0470,0.350,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.531,0.0470,0.346,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.578,0.0470,0.346,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.625,0.0470,0.341,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.671,0.0460,0.325,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.718,0.0470,0.355,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.765,0.0470,0.325,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.812,0.0470,0.325,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.859,0.0470,0.331,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.906,0.0470,0.336,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
1.968,0.0620,0.332,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
2.015,0.0470,0.331,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.062,0.0470,0.334,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.100,6.900
2.109,0.0470,0.343,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.156,0.0470,0.346,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.203,0.0470,0.350,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.250,0.0470,0.346,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.296,0.0460,0.345,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.343,0.0470,0.346,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.390,0.0470,0.344,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.437,0.0470,0.344,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.484,0.0470,0.354,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,6.900
2.531,0.0470,0.353,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.578,0.0470,0.341,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.625,0.0470,0.336,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.671,0.0460,0.343,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.718,0.0470,0.357,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.765,0.0470,0.357,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.812,0.0470,0.347,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.859,0.0470,0.360,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.900,6.900
2.906,0.0470,0.393,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.800,6.900
2.953,0.0470,0.381,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.800,6.900
3.000,0.0470,0.373,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.800,6.900
3.046,0.0460,0.335,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.800,6.900
3.093,0.0470,0.328,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.800,6.900
3.140,0.0470,0.337,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,6.900
3.171,0.0310,0.348,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,6.900
3.234,0.0630,0.359,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,6.900
3.281,0.0470,0.359,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,6.900
3.328,0.0470,0.363,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,6.900
3.375,0.0470,0.352,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,6.900
3.421,0.0460,0.360,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,6.900
3.468,0.0470,0.362,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.600,6.900
