ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-08-14T12:12:56,2,0,2166.0,192.0,1767.0,171.0
2025-08-14T12:13:07,2,1,1512.0,210.0,,178.0
2025-08-14T12:13:17,2,2,871.0,199.0,,164.0
2025-08-14T12:13:24,2,3,237.0,4975.0,,760.0
2025-08-14T12:13:35,3,3,1569.0,4843.0,85.0,
2025-08-14T12:13:52,3,4,856.0,224.0,,158.0
2025-08-14T12:14:01,3,5,217.0,183.0,,1428.0
2025-08-14T12:14:15,2,5,231.0,,109.0,801.0
2025-08-14T12:14:24,1,5,895.0,,111.0,197.0
2025-08-14T12:14:34,1,6,234.0,3374.0,,894.0
2025-08-14T12:14:45,2,6,196.0,2800.0,153.0,
2025-08-14T12:14:54,3,6,176.0,2163.0,179.0,
2025-08-14T12:15:05,4,6,146.0,1545.0,180.0,
2025-08-14T12:15:15,5,6,147.0,895.0,171.0,
2025-08-14T12:15:26,6,6,127.0,257.0,1482.0,
2025-08-14T12:15:38,6,5,,198.0,850.0,123.0
2025-08-14T12:15:52,6,4,,137.0,180.0,1483.0
2025-08-14T12:16:02,5,4,808.0,,174.0,855.0
2025-08-14T12:16:11,4,4,827.0,,167.0,234.0
2025-08-14T12:16:23,4,5,213.0,839.0,,191.0
2025-08-14T12:16:34,5,5,174.0,220.0,798.0,
2025-08-14T12:18:04,0,6,242.0,,1348.0,254.0
2025-08-14T12:18:16,0,5,,57.0,1877.0,227.0
2025-08-14T12:18:25,0,4,,1421.0,2609.0,242.0
2025-08-14T12:18:37,1,4,139.0,814.0,169.0,
2025-08-14T12:18:50,2,4,106.0,206.0,178.0,
2025-08-14T12:19:19,0,3,,129.0,2117.0,232.0
2025-08-14T12:19:30,0,2,,133.0,1459.0,194.0
2025-08-14T12:19:39,0,1,,749.0,804.0,243.0
2025-08-14T12:19:47,1,1,1580.0,166.0,907.0,
2025-08-14T12:20:00,1,0,,126.0,255.0,809.0
2025-08-14T12:20:11,0,0,4204.0,,183.0,202.0
2025-08-14T12:20:40,1,2,909.0,209.0,,91.0
2025-08-14T12:20:50,1,3,227.0,5697.0,,125.0
2025-08-14T12:21:17,4,3,107.0,4175.0,131.0,
2025-08-14T12:21:25,5,3,120.0,3586.0,1493.0,
2025-08-14T12:21:37,5,2,,266.0,861.0,152.0
2025-08-14T12:21:47,5,1,,209.0,200.0,1449.0
2025-08-14T12:21:54,4,1,873.0,,905.0,833.0
2025-08-14T12:22:04,3,1,866.0,,156.0,210.0
2025-08-14T12:22:14,3,2,180.0,760.0,,194.0
2025-08-14T12:22:25,4,2,213.0,149.0,1494.0,
2025-08-14T12:22:45,4,0,,1652.0,242.0,761.0
