timestamp,pos_x_m,pos_y_m,pos_z_m,att_yaw_deg,att_pitch_deg,att_roll_deg,tof_distance_mm,detected_markers
2025-08-12T13:59:26.164,0.0,0.0,0.0,0.0,0.0,0.0,184,
2025-08-12T13:59:26.275,0.0,0.0,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:26.384,3e-05,1e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:26.494,-3e-05,4e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:26.603,-2e-05,7e-05,0.0,0.33,-0.3,-0.51,186,
2025-08-12T13:59:26.711,1e-05,7e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:26.819,-2e-05,9e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:26.928,-5e-05,3e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:27.036,-3e-05,2e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:27.144,-5e-05,4e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:27.253,-4e-05,-2e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:27.366,-2e-05,-7e-05,0.0,0.33,-0.3,-0.51,186,
2025-08-12T13:59:27.477,-2e-05,-7e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:27.584,0.0,-5e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:27.695,-3e-05,-4e-05,0.0,0.33,-0.3,-0.51,186,
2025-08-12T13:59:27.803,-5e-05,-5e-05,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:27.911,-3e-05,-0.00011,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:28.013,-1e-05,-0.00011,0.0,0.33,-0.3,-0.51,187,
2025-08-12T13:59:28.121,-4e-05,-4e-05,0.0,0.33,-0.3,-0.51,186,
2025-08-12T13:59:28.230,-5e-05,-0.0,0.0,0.33,-0.3,-0.51,185,
2025-08-12T13:59:28.338,-5e-05,3e-05,0.0,0.33,-0.28,-0.5,185,
2025-08-12T13:59:28.446,-0.00026,-0.00032,0.0,0.33,-0.29,-0.51,185,
2025-08-12T13:59:28.555,-0.00055,-0.00017,0.0,0.32,-0.29,-0.51,182,
2025-08-12T13:59:28.664,-0.00054,-4e-05,0.0,0.32,-0.28,-0.51,181,
2025-08-12T13:59:28.764,-0.00059,-3e-05,0.0,0.32,-0.28,-0.51,183,
2025-08-12T13:59:28.873,-0.00058,1e-05,0.0,0.32,-0.28,-0.51,183,
2025-08-12T13:59:28.981,-0.00045,0.00025,0.0,0.31,-0.28,-0.51,184,
2025-08-12T13:59:29.090,-0.00017,0.00033,0.0,0.31,-0.28,-0.51,183,
2025-08-12T13:59:29.198,-0.00018,5e-05,0.0,0.31,-0.29,-0.51,184,
2025-08-12T13:59:29.305,6e-05,0.00013,0.0,0.31,-0.29,-0.51,183,
2025-08-12T13:59:29.413,-0.00015,0.00018,0.0,0.31,-0.29,-0.52,183,
2025-08-12T13:59:29.520,-0.00058,0.00029,0.0,0.31,-0.3,-0.52,183,
2025-08-12T13:59:29.626,-0.00084,0.00045,0.0,0.31,-0.3,-0.52,183,
2025-08-12T13:59:29.735,-0.00088,0.00048,0.0,0.31,-0.3,-0.52,184,
2025-08-12T13:59:29.842,-0.00091,0.00047,0.0,0.31,-0.3,-0.52,184,
2025-08-12T13:59:29.950,-0.0009,0.00044,0.0,0.31,-0.3,-0.52,184,
2025-08-12T13:59:30.057,-0.0009,0.00046,0.0,0.31,-0.3,-0.52,184,
2025-08-12T13:59:30.164,-0.00092,0.00042,0.0,0.31,-0.3,-0.52,183,
2025-08-12T13:59:30.271,-0.00091,0.00044,0.0,0.31,-0.3,-0.52,184,
2025-08-12T13:59:30.380,-0.00089,0.0004,0.0,0.31,-0.3,-0.52,184,
2025-08-12T13:59:30.488,-0.0009,0.00041,0.0,0.31,-0.3,-0.52,183,
2025-08-12T13:59:30.597,-0.00079,0.00041,0.0,0.31,-0.3,-0.52,183,
2025-08-12T13:59:30.706,-0.00045,0.00041,0.0,0.29,-0.3,-0.52,213,
2025-08-12T13:59:30.814,-0.00087,0.00034,0.0,0.32,-0.28,-0.51,268,
2025-08-12T13:59:30.924,-0.00152,-9e-05,0.0,0.35,-0.29,-0.52,1010,
2025-08-12T13:59:31.032,-0.00155,8e-05,0.0,0.31,-0.28,-0.52,1001,?
2025-08-12T13:59:31.140,-0.00106,-0.00023,0.0,0.33,-0.28,-0.52,1010,?
2025-08-12T13:59:31.246,-0.0009,-0.00052,0.0,0.34,-0.28,-0.52,1010,?
2025-08-12T13:59:31.355,-0.0007,-0.00073,0.0,0.34,-0.28,-0.52,1006,?
2025-08-12T13:59:31.463,-0.00063,-0.00107,0.0,0.31,-0.28,-0.52,1006,?
2025-08-12T13:59:31.570,-0.00107,-0.00128,0.0,0.35,-0.28,-0.52,876,
2025-08-12T13:59:31.678,-0.00148,-0.00104,0.0,0.35,-0.28,-0.52,312,
2025-08-12T13:59:31.792,-0.00129,-0.00069,0.0,0.38,-0.28,-0.52,191,
2025-08-12T13:59:31.900,-0.0008,-0.00037,0.0,0.36,-0.28,-0.52,188,
2025-08-12T13:59:32.008,-0.00161,-0.00047,0.0,0.36,-0.27,-0.52,188,
2025-08-12T13:59:32.116,-0.00152,-0.00069,0.0,0.36,-0.27,-0.52,185,
