timestamp,pos_x,pos_y,pos_z,att_pitch,att_roll,att_yaw,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,esc_speed_0,esc_angle_0,esc_speed_1,esc_angle_1,robot_status
2025-07-04 09:45:56.591544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2025-07-04 09:45:56.707958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2025-07-04 09:45:56.816980,0.0,0.0,0.0,0.0,0.0,0.0,-0.00773,0.01413,-0.99999,-0.00504,0.00946,0.00449,-2,5,7610,17420,1
2025-07-04 09:45:56.925941,0.0,0.0,0.0,0.99,-0.22,7.79,-0.01023,0.0132,-0.99936,-0.00336,0.00836,0.0058,3,-3,7616,17417,1
2025-07-04 09:45:57.034985,-1e-05,-3e-05,0.0,0.99,-0.22,7.79,-0.00917,0.014,-1.0005,-0.00241,0.0061,0.00886,-3,0,7619,17416,1
2025-07-04 09:45:57.144053,-1e-05,-3e-05,0.0,0.99,-0.22,7.79,-0.00805,0.01484,-0.99908,-0.00228,0.00645,0.00538,-2,0,7617,17417,1
2025-07-04 09:45:57.253995,-2e-05,4e-05,0.0,0.99,-0.22,7.79,-0.00844,0.01443,-1.00072,-0.0048,0.00803,0.0046,1,-23,7619,17415,1
2025-07-04 09:45:57.362522,-2e-05,4e-05,0.0,0.99,-0.22,7.79,-0.00807,0.01306,-1.0014,-0.00346,0.00712,0.00644,1,3,7617,17417,1
2025-07-04 09:45:57.470971,1e-05,-1e-05,0.0,0.99,-0.22,7.79,-0.0108,0.01264,-1.00162,-0.00479,0.00701,0.0056,1,1,7617,17418,1
2025-07-04 09:45:57.578747,1e-05,-1e-05,0.0,0.99,-0.22,7.79,-0.00784,0.01339,-0.99929,-0.00304,0.00762,0.00613,-2,3,7616,17418,1
2025-07-04 09:45:57.686368,1e-05,-1e-05,0.0,0.99,-0.22,7.79,-0.01104,0.01354,-0.99981,-0.00327,0.0086,0.00731,-2,3,7621,17414,1
2025-07-04 09:45:57.795190,1e-05,-1e-05,0.0,0.99,-0.22,7.79,-0.00941,0.01452,-1.00204,-0.00478,0.00978,0.00682,0,2,7617,17418,0
2025-07-04 09:45:57.906550,-2e-05,-7e-05,0.0,1.12,-0.25,7.77,0.20278,0.02154,-1.00673,-0.02662,0.02585,-0.01263,45,-63,8175,16851,0
2025-07-04 09:45:58.016602,-2e-05,-7e-05,0.0,1.12,-0.25,7.77,0.19684,0.01013,-0.98373,0.03719,-0.00302,0.0338,64,-56,12212,12567,0
2025-07-04 09:45:58.124452,0.07994,0.01109,0.0,1.06,-0.13,7.72,0.14864,-0.01905,-0.98109,-0.00979,0.03929,0.02969,92,-96,16595,8176,0
2025-07-04 09:45:58.232739,0.20796,0.02834,0.0,0.84,-0.19,7.72,0.17561,0.02683,-0.99019,0.00069,0.06253,-0.02561,130,-145,22643,2349,0
2025-07-04 09:45:58.341262,0.20796,0.02834,0.0,0.84,-0.19,7.72,-0.06076,0.01557,-0.99742,-0.01971,0.02293,0.01655,138,-131,29806,27903,0
2025-07-04 09:45:58.451477,0.33676,0.04582,0.0,0.84,-0.19,7.72,-0.03911,0.01317,-1.00337,0.04933,0.08288,0.02894,132,-133,3669,21419,0
2025-07-04 09:45:58.558831,0.33676,0.04582,0.0,0.86,-0.16,7.73,0.03975,0.02236,-0.9972,0.05244,-0.01838,-0.01786,143,-141,10890,14107,0
2025-07-04 09:45:58.668768,0.43015,0.05979,0.0,0.84,-0.1,7.86,-0.26875,0.00191,-1.00389,-0.01856,0.00196,0.07993,74,-69,16346,8985,0
2025-07-04 09:45:58.777746,0.43015,0.05979,0.0,0.84,-0.1,7.86,-0.12573,-0.03141,-0.99751,-0.03761,-0.01947,0.07172,91,-89,20923,4680,0
2025-07-04 09:45:58.888615,0.50609,0.07056,0.0,0.77,-0.15,7.67,-0.17547,-0.02373,-0.98824,0.03827,0.01689,0.04307,69,-75,25597,48,0
2025-07-04 09:45:58.995987,0.50609,0.07056,0.0,0.77,-0.15,7.67,0.10117,0.01942,-1.01181,0.00084,0.00619,-0.00934,54,-50,31702,26698,0
2025-07-04 09:45:59.105905,0.55842,0.07771,0.0,0.74,-0.19,7.68,-0.21104,0.02103,-1.0083,-0.01093,-0.00256,0.00247,42,-29,1689,24048,0
2025-07-04 09:45:59.214729,0.55842,0.07771,0.0,0.74,-0.19,7.68,-0.06322,-0.00363,-0.99076,-0.03458,0.0469,0.07944,13,-19,2934,22575,0
2025-07-04 09:45:59.323028,0.57491,0.07949,0.0,0.76,-0.18,8.31,-0.19319,-0.1768,-1.00399,-0.01402,-0.06517,0.68317,-55,-41,3006,21439,0
2025-07-04 09:45:59.432065,0.57491,0.07949,0.0,0.76,-0.18,8.31,-0.10242,-0.03498,-1.00091,-0.00672,0.00431,0.65318,-35,-11,933,19946,0
2025-07-04 09:45:59.541818,0.56094,0.07754,0.0,0.73,-0.03,16.11,0.05107,-0.02094,-1.00123,-0.0051,0.00325,0.72581,-32,-16,31435,19169,0
