ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-08-13T10:14:58,0,0,960.0,178.0,162.0,128.0
2025-08-13T10:15:07,0,1,1026.0,115.0,,888.0
2025-08-13T10:15:20,-1,1,112.0,,79.0,895.0
2025-08-13T10:15:28,-2,1,999.0,,176.0,1048.0
2025-08-13T10:15:41,-2,2,813.0,76.0,,89.0
2025-08-13T10:16:00,-2,3,120.0,97.0,,1105.0
2025-08-13T10:16:10,-3,3,216.0,,1247.0,842.0
2025-08-13T10:16:21,-3,2,,217.0,812.0,146.0
2025-08-13T10:16:30,-3,1,,950.0,149.0,900.0
2025-08-13T10:16:40,-4,1,849.0,,1049.0,249.0
2025-08-13T10:16:57,-4,0,,1010.0,425.0,126.0
2025-08-13T10:17:09,-3,0,141.0,1099.0,212.0,
2025-08-13T10:17:18,-2,0,193.0,839.0,215.0,
2025-08-13T10:17:31,-1,0,165.0,149.0,154.0,
2025-08-13T10:18:11,-4,2,294.0,60.0,,147.0
