angle,tof,timestamp
0.0,0,2025-07-15 11:18:02.578335
0.0,0,2025-07-15 11:18:02.601517
0.0,0,2025-07-15 11:18:02.633082
90.2,274,2025-07-15 11:18:02.664116
90.2,274,2025-07-15 11:18:02.695659
87.9,273,2025-07-15 11:18:02.726973
84.7,274,2025-07-15 11:18:02.758539
84.7,274,2025-07-15 11:18:02.789794
82.8,274,2025-07-15 11:18:02.821145
82.8,276,2025-07-15 11:18:02.852405
80.2,276,2025-07-15 11:18:02.883668
80.2,278,2025-07-15 11:18:02.915501
78.4,282,2025-07-15 11:18:02.946622
75.8,282,2025-07-15 11:18:02.977544
75.8,282,2025-07-15 11:18:03.007417
74.1,288,2025-07-15 11:18:03.039614
71.4,288,2025-07-15 11:18:03.070304
71.4,297,2025-07-15 11:18:03.101124
69.6,297,2025-07-15 11:18:03.132130
66.7,299,2025-07-15 11:18:03.163646
66.7,299,2025-07-15 11:18:03.194433
64.8,305,2025-07-15 11:18:03.225789
64.8,313,2025-07-15 11:18:03.257628
61.8,313,2025-07-15 11:18:03.288173
60.0,317,2025-07-15 11:18:03.318956
60.0,329,2025-07-15 11:18:03.350838
57.4,329,2025-07-15 11:18:03.382437
57.4,339,2025-07-15 11:18:03.413285
55.6,347,2025-07-15 11:18:03.444860
53.0,347,2025-07-15 11:18:03.475652
53.0,356,2025-07-15 11:18:03.506283
50.4,356,2025-07-15 11:18:03.536473
50.4,366,2025-07-15 11:18:03.567242
48.7,366,2025-07-15 11:18:03.598508
46.1,65608,2025-07-15 11:18:03.629503
46.1,417,2025-07-15 11:18:03.661070
44.3,417,2025-07-15 11:18:03.691085
41.6,431,2025-07-15 11:18:03.721510
41.6,431,2025-07-15 11:18:03.752604
39.7,444,2025-07-15 11:18:03.783935
39.7,449,2025-07-15 11:18:03.814783
37.1,449,2025-07-15 11:18:03.845431
37.1,442,2025-07-15 11:18:03.876101
35.2,434,2025-07-15 11:18:03.906603
32.4,434,2025-07-15 11:18:03.937816
32.4,423,2025-07-15 11:18:03.968699
30.5,423,2025-07-15 11:18:03.999639
30.5,413,2025-07-15 11:18:04.030010
27.9,401,2025-07-15 11:18:04.061583
25.1,401,2025-07-15 11:18:04.092459
25.1,392,2025-07-15 11:18:04.124003
23.3,392,2025-07-15 11:18:04.154599
20.6,383,2025-07-15 11:18:04.186390
20.6,383,2025-07-15 11:18:04.217615
18.0,376,2025-07-15 11:18:04.248104
18.0,369,2025-07-15 11:18:04.279338
16.1,369,2025-07-15 11:18:04.310391
13.5,363,2025-07-15 11:18:04.341214
