angle,tof,timestamp
0,0,2025-07-23 10:17:44.145281
0,2659,2025-07-23 10:17:44.206962
0,2661,2025-07-23 10:17:44.268642
0,2665,2025-07-23 10:17:44.330600
0,2668,2025-07-23 10:17:44.394189
0,2673,2025-07-23 10:17:44.457653
0,2664,2025-07-23 10:17:44.518883
0,2665,2025-07-23 10:17:44.581766
0,2657,2025-07-23 10:17:44.643147
0,2662,2025-07-23 10:17:44.705316
0,2662,2025-07-23 10:17:44.766676
0,547,2025-07-23 10:17:44.828721
0,525,2025-07-23 10:17:44.890628
0,512,2025-07-23 10:17:44.953365
0,509,2025-07-23 10:17:45.015353
0,562,2025-07-23 10:17:45.078150
0,1194,2025-07-23 10:17:45.139229
0,1194,2025-07-23 10:17:45.202521
0,2642,2025-07-23 10:17:45.263388
0,2660,2025-07-23 10:17:45.326026
0,2659,2025-07-23 10:17:45.388044
0,2649,2025-07-23 10:17:45.450162
0,2647,2025-07-23 10:17:45.511717
0,2614,2025-07-23 10:17:45.573498
0,916,2025-07-23 10:17:45.635683
0,576,2025-07-23 10:17:45.698016
0,498,2025-07-23 10:17:45.759620
0,484,2025-07-23 10:17:45.822402
0,480,2025-07-23 10:17:45.884696
0,476,2025-07-23 10:17:45.947454
0,478,2025-07-23 10:17:46.010271
0,480,2025-07-23 10:17:46.073043
0,1943,2025-07-23 10:17:46.133970
0,2636,2025-07-23 10:17:46.195959
0,2657,2025-07-23 10:17:46.257122
0,2663,2025-07-23 10:17:46.319273
0,2665,2025-07-23 10:17:46.381067
0,2660,2025-07-23 10:17:46.442473
0,2661,2025-07-23 10:17:46.503511
0,2660,2025-07-23 10:17:46.565644
0,2665,2025-07-23 10:17:46.628204
0,2667,2025-07-23 10:17:46.691661
0,2656,2025-07-23 10:17:46.752861
0,2646,2025-07-23 10:17:46.815876
0,2385,2025-07-23 10:17:46.877730
0,559,2025-07-23 10:17:46.939452
0,65635,2025-07-23 10:17:47.001984
0,488,2025-07-23 10:17:47.063834
0,484,2025-07-23 10:17:47.127057
0,487,2025-07-23 10:17:47.189430
0,518,2025-07-23 10:17:47.250844
0,698,2025-07-23 10:17:47.313356
0,1508,2025-07-23 10:17:47.375428
0,2576,2025-07-23 10:17:47.437007
0,2618,2025-07-23 10:17:47.498697
0,2654,2025-07-23 10:17:47.560728
0,2653,2025-07-23 10:17:47.623521
0,2642,2025-07-23 10:17:47.685347
0,2624,2025-07-23 10:17:47.746979
0,985,2025-07-23 10:17:47.808657
0,584,2025-07-23 10:17:47.870909
0,527,2025-07-23 10:17:47.932539
0,504,2025-07-23 10:17:47.994028
0,494,2025-07-23 10:17:48.055161
0,479,2025-07-23 10:17:48.117404
0,475,2025-07-23 10:17:48.179981
0,477,2025-07-23 10:17:48.243081
0,501,2025-07-23 10:17:48.305936
0,2601,2025-07-23 10:17:48.368252
0,2652,2025-07-23 10:17:48.430277
0,2654,2025-07-23 10:17:48.493107
0,2668,2025-07-23 10:17:48.555198
0,2669,2025-07-23 10:17:48.617619
0,2659,2025-07-23 10:17:48.679966
0,2662,2025-07-23 10:17:48.741338
0,2661,2025-07-23 10:17:48.804659
0,2665,2025-07-23 10:17:48.866147
0,2665,2025-07-23 10:17:48.928478
0,2661,2025-07-23 10:17:48.990777
0,2650,2025-07-23 10:17:49.053866
0,2528,2025-07-23 10:17:49.115861
0,469,2025-07-23 10:17:49.177348
0,466,2025-07-23 10:17:49.239944
0,464,2025-07-23 10:17:49.301043
0,465,2025-07-23 10:17:49.364431
0,482,2025-07-23 10:17:49.427063
0,524,2025-07-23 10:17:49.488720
0,807,2025-07-23 10:17:49.552018
0,2071,2025-07-23 10:17:49.613748
0,2623,2025-07-23 10:17:49.675196
0,2648,2025-07-23 10:17:49.736025
0,2648,2025-07-23 10:17:49.798633
0,2649,2025-07-23 10:17:49.860536
0,2639,2025-07-23 10:17:49.922896
0,2626,2025-07-23 10:17:49.985485
0,2180,2025-07-23 10:17:50.047743
0,604,2025-07-23 10:17:50.109805
0,539,2025-07-23 10:17:50.170697
0,526,2025-07-23 10:17:50.231571
0,525,2025-07-23 10:17:50.293912
0,524,2025-07-23 10:17:50.355040
0,518,2025-07-23 10:17:50.415876
0,524,2025-07-23 10:17:50.478315
0,640,2025-07-23 10:17:50.540566
0,2640,2025-07-23 10:17:50.602345
0,2660,2025-07-23 10:17:50.664740
0,2663,2025-07-23 10:17:50.726658
0,2666,2025-07-23 10:17:50.788427
0,2665,2025-07-23 10:17:50.850099
0,2671,2025-07-23 10:17:50.913298
0,2675,2025-07-23 10:17:50.975688
0,2665,2025-07-23 10:17:51.038287
0,2652,2025-07-23 10:17:51.100428
0,2643,2025-07-23 10:17:51.163397
0,2138,2025-07-23 10:17:51.225863
0,531,2025-07-23 10:17:51.288190
0,518,2025-07-23 10:17:51.349503
0,518,2025-07-23 10:17:51.412171
0,522,2025-07-23 10:17:51.473732
0,523,2025-07-23 10:17:51.536602
0,564,2025-07-23 10:17:51.599259
0,802,2025-07-23 10:17:51.660193
0,1901,2025-07-23 10:17:51.722361
0,2611,2025-07-23 10:17:51.786041
0,2649,2025-07-23 10:17:51.847863
0,2656,2025-07-23 10:17:51.910812
0,2653,2025-07-23 10:17:51.973331
0,2628,2025-07-23 10:17:52.035765
0,2527,2025-07-23 10:17:52.096168
0,1102,2025-07-23 10:17:52.157971
0,513,2025-07-23 10:17:52.219378
0,513,2025-07-23 10:17:52.280805
0,503,2025-07-23 10:17:52.343479
0,496,2025-07-23 10:17:52.404773
0,499,2025-07-23 10:17:52.467324
0,503,2025-07-23 10:17:52.528601
0,563,2025-07-23 10:17:52.590297
0,1424,2025-07-23 10:17:52.652596
0,2655,2025-07-23 10:17:52.714087
0,2655,2025-07-23 10:17:52.775724
0,2650,2025-07-23 10:17:52.838032
0,2662,2025-07-23 10:17:52.900196
0,2663,2025-07-23 10:17:52.962185
0,2661,2025-07-23 10:17:53.024578
0,2662,2025-07-23 10:17:53.086774
0,2662,2025-07-23 10:17:53.147880
0,2671,2025-07-23 10:17:53.209886
0,2648,2025-07-23 10:17:53.273468
0,2584,2025-07-23 10:17:53.335530
0,735,2025-07-23 10:17:53.398044
0,541,2025-07-23 10:17:53.460779
0,528,2025-07-23 10:17:53.523406
0,524,2025-07-23 10:17:53.585777
0,521,2025-07-23 10:17:53.647981
0,519,2025-07-23 10:17:53.710599
0,523,2025-07-23 10:17:53.772715
0,602,2025-07-23 10:17:53.835581
0,905,2025-07-23 10:17:53.898254
0,1972,2025-07-23 10:17:53.960512
0,2605,2025-07-23 10:17:54.022576
0,2640,2025-07-23 10:17:54.084512
0,2649,2025-07-23 10:17:54.146796
0,2649,2025-07-23 10:17:54.208393
0,2614,2025-07-23 10:17:54.271506
0,752,2025-07-23 10:17:54.333714
0,65635,2025-07-23 10:17:54.396765
0,65635,2025-07-23 10:17:54.457981
0,65633,2025-07-23 10:17:54.520490
0,512,2025-07-23 10:17:54.582157
0,516,2025-07-23 10:17:54.645483
0,663,2025-07-23 10:17:54.707879
0,2595,2025-07-23 10:17:54.770654
0,2650,2025-07-23 10:17:54.833196
0,2662,2025-07-23 10:17:54.895620
0,2664,2025-07-23 10:17:54.957251
0,2660,2025-07-23 10:17:55.020225
0,2659,2025-07-23 10:17:55.081162
0,2665,2025-07-23 10:17:55.143152
0,2642,2025-07-23 10:17:55.205778
0,1004,2025-07-23 10:17:55.267298
0,518,2025-07-23 10:17:55.330272
0,514,2025-07-23 10:17:55.390996
0,520,2025-07-23 10:17:55.454107
0,568,2025-07-23 10:17:55.515366
